Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Buttered Chicken,"Ang Buttered Chicken ay isang simpleng ngunit masarap na putahe na ginagawa mula sa mga hiwa ng dibdib ng manok na pinahiran ng batter na gawa sa harina, itlog, at pampalasa, at pinrituhin sa kumukulong butter. Ang butter ang nagbibigay ng mayamang at mabangong lasa sa bawat subo. Masarap itong ihain kasama ng chicken gravy para sa mas kumpletong karanasan sa pagkain. Paboritong ulam ito ng mga bata at matatanda.","2 chicken breast na hiniwa-hiwa sa maliliit na bahagi, 1 kutsaritang paminta, 1 pc. itlog, 1 tasang butter, 1 tasang harina, 1 kutsaritang asin","
Step 1: Pagsamasamahin ang harina, itlog, paminta, at asin sa isang mangkok. Haluin nang maigi hanggang maging pantay at maayos na batter.
Step 2: Ito ang magsisilibing batter para sa manok.
Step 3: Paguluungin ang mga piraso ng chicken breast sa batter hanggang magsisibing fully-coated ang bawat piraso.
Step 4: Initin ang butter sa kaserola hanggang matunaw at magsimulang kumulo. Prituhin ang mga chicken breast sa kumukulong butter hanggang maging ginto at maluto.
Step 5: Hanguin ang buttered chicken mula sa kaserola at i-serve kasama ang chicken gravy.
",Ulam,"Maalat, Malasa, Mataba, Mabango",Calories: ~380 kcal | Protein: ~28g | Fat: ~22g | Carbs: ~18g | Sodium: ~560mg,10,20,40,Easy,Medium Cost,"Buttered Chicken, Manok, Fried, Filipino, Butter, Quick, Easy","Tanghalian, Hapunan","Happy, Simple satisfaction, Kids' favorite mood, Indulgent",
,Carbonara,"Ang Carbonara ay isang sikat na Italian-inspired na pasta dish na ginagawa mula sa spaghetti noodles, bacon, heavy whipping cream, itlog, at parmesan cheese. Ang creamy at mayamang sauce nito ay gawa sa pinagsamang nabating itlog, cream, at keso na nagbibigay ng makapal at masustansiyang coating sa bawat noodle. Ang pinirituong bacon ay nagdadagdag ng maalat at malutong na texture. Ito ay isa sa mga paboritong pasta ng mga Pilipino.","1 lb spaghetti noodles niluto ayon sa package instructions, 4 pcs. itlog binati, 3/4 tasa ng heavy whipping cream, 1/2 tasang parmesan cheese ginadgad, 2 kutsarang sibuyas hiniwa-hiwa nang maninipis, 4 cloves garlic tinadtad, 1/2 lb bacon hiniwa-hiwa, 4 kutsarang butter","Step 1: Pagsamasamahin ang nabating itlog, heavy whipping cream, at parmesan cheese sa isang mangkok. Haluin nang maigi hanggang pantay. Itabi.
Step 2: Iprito ang bacon sa kawali saka lagyan ng butter at bayaang matunaw. Itabi.
Step 3: Sa magkatulad na kawali o kaserola, igisa ang bawang at sibuyas hanggang mabango at bahagyang ginto.
Step 4: Idagdag ang cooked spaghetti noodles sa kawali at haluin.
Step 5: Ilagay ang binating heavy whipping cream-egg-parmesan cheese mixture sa noodles at haluing maigi. Iluto ng 1 hanggang 2 minuto sa mahinang apoy.
Step 6: Idagdag ang pinirituong bacon at ikalat nang pantay sa pasta.
Step 7: Isalin sa isang pinggan at ihain habang mainit.",Ulam / Pasta,"Creamy, Maalat, Malasa, Mataba",Calories: ~520 kcal | Protein: ~24g | Fat: ~28g | Carbs: ~48g | Sodium: ~720mg,15,25,4,Moderate,Medium Cost,"Carbonara, Pasta, Spaghetti, Italian, Bacon, Cream, Filipino","Tanghalian, Hapunan","Indulgent, Romantic, Cozy dinner, Treat yourself, Fancy mood",
,Filipino Spaghetti,"Ang Filipino Spaghetti ay ang paboritong bersyon ng spaghetti ng mga Pilipino na natatangi sa matamis na sarsa nito na gawa sa banana ketchup at tomato sauce. Hindi tulad ng tradisyonal na Italian spaghetti, ang Filipino Spaghetti ay may kasamang hotdog at giniling na karne na nagdadagdag ng sarap. Ang tamis ng banana ketchup at pulang asukal ay nagbibigay ng kakaibang Filipino twist sa klasikong pasta dish na ito. Laging presente sa mga kaarawan at handaan.","2 lbs spaghetti, 1 malaking botelya ng banana ketchup, 1 malaking lata ng tomato sauce, 1/2 tasang tomato paste (mga 4 na tasa), 1 kutsaritang bawang tinadtad, 1 1/2 lbs giniling na baboy o baka, 1/2 kutsaritang asukal, 4 pcs. hotdog hiniwa-hiwa nang pakuwadrado, 1 medium sized sibuyas hiniwa-hiwa nang pakuwadrado, 2 kutsarang asin, 36 ounces tubig (mga 1 litro), 4 kutsarang mantika, keso","Step 1: Sa isang malaking kaserola, ibuhos ang tubig at pabayaang kumulo. Iluto ang spaghetti noodles hanggang lumambot ayon sa package instructions. Itabi.
Step 2: Sa hiwalay na malaking kaserola, ibuhos ang mantika at initin. Igisa ang bawang at sibuyas hanggang mabango. Itabi.
Step 3: Idagdag ang giniling na karne at iluto ng 5 minuto hanggang maluto.
Step 4: Idagdag ang hotdog at lutuin ng 2 minuto.
Step 5: Ilagay ang tomato sauce, banana ketchup, tomato paste, at pulang asukal. Haluin nang maigi.
Step 6: Pakuluan sa mahinang apoy ng 15 hanggang 20 minuto hanggang lumapot ang sauce.
Step 7: Ilagay ang asin pampalasa at haluin.
Step 8: Ilagay ang sauce sa ibabaw ng noodles. Lagyan ng keso at ihain habang mainit.",Ulam / Pasta,"Matamis, Maalat, Malasa, Umami",Calories: ~480 kcal | Protein: ~22g | Fat: ~16g | Carbs: ~62g | Sodium: ~760mg,15,35,8,Easy,Medium Cost,"Spaghetti, Filipino, Pasta, Hotdog, Kaarawan, Matamis, Party Food","Tanghalian, Hapunan, Espesyal na Okasyon","Birthday nostalgia, Celebratory, Childhood happiness, Festive",
,Chicken Popcorn,"Ang Chicken Popcorn ay isang masarap at malutong na meryenda o ulam na ginagawa mula sa maliliit na piraso ng dibdib ng manok na pinahiran ng espesyal na fried chicken seasoning, harina, at dinurog na oatmeal. Ang oatmeal ang nagbibigay ng natatanging malutong at masustansiyang coating. Perpekto para sa mga bata at matatanda bilang meryenda o side dish. Easy at mabilis itong gawin at masarap ihain kasama ng dipping sauce.","2 whole chicken breasts hiniwa sa maliliit na bahagi, 1 1/2 tasang harina, 2 tasang oatmeal dinurog sa blender, 1/2 tasang fried chicken seasoning mix, 4 pcs. itlog binati, asin at paminta pampalasa, mantika na pangprito","Step 1: Pagsamasamahin ang fried chicken seasoning mix at harina sa isang mangkok. Haluin nang maigi.
Step 2: Lublob ang bawat piraso ng manok sa binating itlog saka pagulungin sa harina-seasoning mixture para matakpan nang buo.
Step 3: Pagulungin muli ang chicken sa dinurog na oatmeal para sa karagdagang malutong na coating.
Step 4: I-deep fry ang mga chicken pieces sa mainit na mantika hanggang maging golden brown at maluto.
Step 5: Hanguin at ilagay sa paper towel para tumulo ang sobrang mantika. Ihain kasama ng fresh salad at paboritong salad dressing. Puwede ring ihain para sa mga bata.",Meryenda / Ulam,"Maalat, Malasa, Malutong",Calories: ~340 kcal | Protein: ~26g | Fat: ~16g | Carbs: ~24g | Sodium: ~580mg,15,20,4,Easy,Medium Cost,"Chicken Popcorn, Manok, Fried, Meryenda, Kids Food, Oatmeal, Malutong","Meryenda, Tanghalian, Hapunan","Snacky, Playful, Fun, Kids' excitement, Party mood",
,KFC Style Fried Chicken,"Ang KFC Style Fried Chicken ay isang sikat na copycat recipe ng world-famous na fried chicken na ginagawa mula sa buong manok na pinahiran ng batter na gawa sa harina, gatas, itlog, at iba't ibang pampalasa tulad ng garlic powder, paprika, at paminta. Ang makapal na batter ang nagbibigay ng natatanging malutong na coating na katulad ng sikat na fast food chain. Masarap itong ihain kasama ng mashed potato at gravy para sa kumpletong fast-food-style na karanasan sa bahay.","isang buong manok, 1 itlog, 1 tasang gatas, 2 tasang harina, 2 kutsaritang paminta, 3 kutsaritang asin, 4 kutsaritang garlic powder, 3 kutsaritang paprika, mantika para pangprito","Step 1: Hiwain ang manok ayon sa standard size o gustong laki ng piraso.
Step 2: Pagsamasamahin ang lahat ng sangkap maliban sa mantika — harina, itlog, gatas, paminta, asin, garlic powder, at paprika. Haluin nang maigi. Ito ang magsisilibing batter.
Step 3: I-coat nang maigi ang mga piraso ng manok sa batter. Siguraduhing natakpan ang bawat bahagi ng manok.
Step 4: Iprito isa-isa ang mga parte ng manok sa mainit na mantika hanggang maging golden brown at maluto ang loob.",Ulam / Pritong Manok,"Maalat, Malasa, Malutong, Mabango",Calories: ~420 kcal | Protein: ~32g | Fat: ~24g | Carbs: ~20g | Sodium: ~680mg,15,25,4,Easy,Medium Cost,"KFC, Fried Chicken, Manok, Copycat, Filipino, Malutong, Fast Food","Tanghalian, Hapunan","Craving satisfaction, Indulgent, Excited, Fast-food nostalgia",
,Max's Style Fried Chicken,Ang Max's Style Fried Chicken ay isang sikat na copycat recipe ng paboritong fried chicken ng mga Pilipino mula sa bantog na Max's Restaurant. Ang lihim ng sarap nito ay ang pagpapasingaw ng manok bago iprito — ang prosesong ito ay nagpapalambot ng karne at nagpapanatili ng katas nito. Ang dahon ng laurel at cilantro sa tubig ng singaw ay nagdadagdag ng mabangong lasa sa manok bago ito iprito hanggang maging ginto at malutong. Masarap ihain kasama ng piniritong kamote.,"1 buong manok, 6 pcs. dahon ng laurel, 1/4 tasang tinadtad na cilantro o parsley, 4 tasang tubig, 3 tasang mantika, 2 kutsaritang asin, 1 kutsaritang dinurog na itim na paminta","Step 1: Sa isang steamer, ibuhos ang tubig at pabayaang kumulo.
Step 2: Idagdag ang dahon ng laurel at tinadtad na cilantro sa kumukulong tubig para magbigay ng mabangong lasa sa singaw.
Step 3: Pasingawan ang buong manok ng 45 minuto hanggang maluto nang buo.
Step 4: Tanggalin ang manok sa steamer at pabayaang tumulo ang sobrang sabaw. Pabayaang lumamig ang manok.
Step 5: Ipahid ang asin at dinurog na paminta sa buong manok para sa dagdag na lasa.
Step 6: Sa isang deep-fryer o malaking kaserola, ibuhos ang mantika at painitin sa katamtamang init ng apoy.
Step 7: Kapag mainit na ang mantika, i-deep fry ang manok ng 12 minuto. Kung hindi lubog nang buo ang manok sa mantika, balibaligtarin ito hanggang maging golden brown ang kulay ng lahat ng bahagi.
Step 8: Tanggalin ang manok sa fryer at bayaang tumulo ang sobrang mantika.
Step 9: Ihain nang mainit kasama ang piniritong kamote.",Ulam / Pritong Manok,"Maalat, Malasa, Malutong, Mabango",Calories: ~450 kcal | Protein: ~36g | Fat: ~28g | Carbs: ~4g | Sodium: ~620mg,15,60,6,Moderate,Medium Cost,"Max's Chicken, Fried Chicken, Manok, Copycat, Filipino, Steamed, Malutong",Mashed Potato,"Nostalgic, Celebratory, Family reunion, Happy",
,Mashed Potato,"Ang Mashed Potato ay isang klasikong side dish na ginagawa mula sa pinakuluang patatas na dinurog at hinaluan ng butter o margarine at gatas evaporada. Ang resulta ay isang malambot, creamy, at masarap na side dish na perpektong isama sa pritong manok, steak, o anumang pangunahing ulam. Easy at mabilis itong gawin at palaging paboritong kasamahan ng iba't ibang klase ng karne at gravy.","1 tasang nilagang patatas, 1 kutsarang butter o margarine, 1/4 tasang gatas evaporada, asin at paminta","Step 1: Durugin ang nilagang patatas sa isang malaking mangkok gamit ang potato masher o tinidor hanggang magiging maayos at walang bukol.
Step 2: Idagdag ang butter o margarine sa dinurog na patatas at haluin habang mainit para matunaw ang butter nang buo.
Step 3: Ibuhos ang gatas evaporada nang unti-unti at haluing maigi. Magdagdag ng gatas ayon sa lapot na gusto.
Step 4: Timplahan ng asin at paminta ayon sa panlasa. Haluin muli.
Step 5: Ihain kasama ang pinirituong manok o inihaw na steak at gravy.",Side Dish,"Creamy, Maalat, Malasa, Mataba",Calories: ~180 kcal | Protein: ~4g | Fat: ~8g | Carbs: ~24g | Sodium: ~320mg,5,10,2,Easy,Low Cost,"Mashed Potato, Side Dish, Patatas, Creamy, Filipino, Quick, Easy","Tanghalian, Hapunan, Side Dish","Comforted, Cozy, Simple satisfaction, Paired happiness",
,Morcon,"Ang Morcon ay isang espesyal na Filipino na putahe na ginagawa mula sa flank steak na pinapuno ng hotdog, karot, keso, itlog, at pickled cucumber, pagkatapos ay inirolyuhan at tinalian bago iprito at ipakuluan sa beef broth. Ang bawat hiwa ng Morcon ay nagpapakita ng maganda at makulay na palaman sa loob. Ang sawsawan na gawa sa toyo at lemon ay nagdadagdag ng maasim at maalat na lasa. Madalas itong inihahain sa mga espesyal na okasyon tulad ng Pasko at Bagong Taon.","2 lbs flank steak (3/4 inch thick ang bawat piraso), 2 pcs. beef cubes na nilusaw sa 3 tasang kumukulong tubig (beef stock/broth), 1/4 kutsaritang asin, 1 pc. lemon, 1/2 tasang toyo, 1 pc. medium sized carrot hiniwa-hiwa nang pahaba, 1/2 tasang harina, 1/2 tasang mantika, 4 pcs. hotdogs hiniwa nang 2 parte at pahaba, 2 pcs. sweet pickled cucumber hiniwa sa 4 equal pieces at pahaba, 3 pcs. nilagang itlog hiniwa-hiwa, 3 ounces keso hiniwa-hiwa nang pahaba (mga 1/2 inch thick)","Step 1: Ibabad ang flank steak sa toyo at lemon juice ng mga 1 oras para lumambot at sumipsip ng lasa ang karne.
Step 2: Ilagay ang baka sa malinis na mesa at ayusin ang hotdogs, pickle, carrot, keso, at itlog sa magkabilang dulo ng karne nang pantay at maayos.
Step 3: Irolyo ang baka nang mahigpit para maisara ang palaman. Talian ang morcon gamit ang cooking string para makasiguro na hindi ito bubukas habang niluluto.
Step 4: Ilagay ang mantika sa kaserola at painitin sa katamtamang init ng apoy.
Step 5: Pagulungin ang nirolyong baka sa harina at iprito hanggang maging medium brown ang labas na bahagi para mapirmihan ang hugis.
Step 6: Isalin ang napritong narolyong baka sa isang kaserola at ibuhos ang beef broth saka pabayaang kumulo.
Step 7: Ibuhos ang kalahati ng soy sauce-lemon juice marinade at asin saka pakuluan hanggang lumambot ang baka (mga 2 oras gamit ang ordinaryong kaserola o 30 minuto kung pressure cooker).
Step 8: (Optional) Maaari ring prituhin muli ang karne ng mga 2 minuto para mas gumanda ang kulay.
Step 9: Tanggalin ang tali at hiwain ayon sa kayang kainin ng tao.
Step 10: Ilagay sa plato at idagdag ang sawsawan. Ihain habang mainit.",Ulam / Espesyal na Putahe,"Maalat, Maasim, Malasa, Mataba",Calories: ~520 kcal | Protein: ~38g | Fat: ~30g | Carbs: ~16g | Sodium: ~780mg,20,130,4,Difficult,High Cost,"Morcon, Beef, Rolled Beef, Filipino, Espesyal, Pasko, Kaarawan","Tanghalian, Hapunan, Espesyal na Okasyon","Festive, Christmas mood, Proud, Celebratory, Special occasion",
,Daing,Ang Daing ay isang tradisyonal na paraan ng pag-preserve ng isda sa Pilipinas sa pamamagitan ng pagbabad sa brine solution at pagpapatuyo sa araw. Ang prosesong ito ay nagpapatagal ng buhay ng isda at nagbibigay ng natatanging maalat at matibay na lasa na hindi mo mahahanap sa sariwang isda. Ang Daing ay isa sa mga pinakasikat na produkto ng mga mangingisda sa buong Pilipinas at isang mahusay na negosyo dahil sa matagal na shelf life nito. Ihain ito kasama ng kanin at suka para sa isang simpleng ngunit napaka-masarap na almusal o ulam.,"Sariwang Galunggong 60 kilos, asin 6.5 kilos (sa bawat 60 kilos ng isda), tubig","Step 1: Hugasan ang galunggong gamit ang malinis na tubig. Muling hugasan ang isda.
Step 2: Ilagay ang isda sa strainer at salain.
Step 3: Hiwain ang isda na parang butterfly at tanggalin ang hasang at lamang-loob.
Step 4: Ihanda ang brine solution (i.e. pinaghalong tubig at asin). Sa bawat 60-kg kilos ng asin, ang katumbas ay 5 gallons ng tubig.
Step 5: Ilubog ang isda sa brine solution ng 1 oras.
Step 6: Isalin ang naasinan isda.
Step 7: Banlawan ang isda nang maigi sa tubig para matanggal ang sobrang asin.
Step 8: Ipatag o ilagay ang isda sa wire screen mesh. Huwag ilagay ang isda sa ibabaw ng bawat isa para pantay na matuyo ang mga isda.
Step 9: Takpan ang isda gamit ang isa pang bahagi ng screen mesh para protektahan ang isda mula sa langaw at insekto.
Step 10: Ipatuyo ang isda sa ilalim ng araw ng 2 hanggang 3 araw habang hindi makontaminado.
Step 11: Pagkataraang matuyo ng 2 araw, bayaang lumamig ang isda ng 6 oras sa room temperature.
Step 12: Timbangin, i-pack, selyaduhan at iimbak ang dried fish at room temperature.",Preserved Fish / Processed Food,"Maalat, Matibay ang Lasa, Malutong kapag Pritong",Calories: ~180 kcal | Protein: ~30g | Fat: ~6g | Carbs: ~0g | Sodium: ~1200mg,60,4320,20,Moderate,High Cost,"Daing, Isda, Preserved Fish, Filipino, Negosyo, Almusal, Tradisyonal","Almusal, Tanghalian","Nostalgic, Simple morning joy, Frugal but happy, Humble",
,Homemade Dried Mangoes,"Ang Homemade Dried Mangoes ay isa sa mga pinakasikat na pasalubong at exported na produkto ng Pilipinas. Kilala ang Pilipinas sa buong mundo sa napaka-masarap na dried mangoes nito lalo na ang galing Cebu. Ang simpleng paraan ng paggawa nito sa bahay ay nagbibigay ng pagkakataon para kumita nang malaki sa napakamaliit na puhunan. Maaaring gamitin ang hinog, hilaw, o Indian mangga depende sa gusto mong lasa. Ang microwave method ay nagbibigay ng mabilis at Easyng paraan ng pag-dehydrate ng mangga nang walang karagdagang gamit.","Mangga (hinog, hilaw, o Indian)","Step 1: Balatan ang mangga at hiwain nang maninipis para makamit ang pinaka-magaan at malutong na dried mango.
Step 2: Ilagay isa-isa sa tray o microwavable tray at lutuin sa microwave hanggang maging brown ang kulay ng mangga.",Processed Food / Meryenda / Pasalubong,"Matamis, Maasim, Natural na Lasa ng Mangga",Calories: ~320 kcal | Protein: ~3g | Fat: ~1g | Carbs: ~78g | Sugar: ~66g,20,30,8,Easy,Low Cost,"Dried Mango, Mangga, Filipino, Pasalubong, Negosyo, Meryenda, Export",Meryenda,"Nostalgic, Snacky, Proud (Filipino product pride), Pasalubong joy",
,Tuyo,Ang Tuyo ay isa sa mga pinaka-pamilyar at pinaka-imahe ng almusal ng mga Pilipino. Ito ay ginagawa mula sa sariwang Tunsoy fish na inasnan at pinatuyo sa araw para makamit ang napaka-maalat at matibay na lasa. Ang tuyo ay maaaring itago nang matagal nang hindi nasisira dahil sa mataas na asin content nito. Ang amoy ng pritong tuyo ay isa sa mga pinakakilalang aroma sa buong Pilipinas na nagpapaalala ng mainit na almusal kasama ang kanin at suka. Ito ay isang napaka-sulit na produkto para ibenta at may mataas na demand sa lahat ng uri ng tao.,"Sariwang Tunsoy fish 60 kilos, asin 6.5 kilos (sa bawat 60 kilos ng isda)","Step 1: Hugasan ang Tunsoy nang maigi at ilagay sa strainer at salain ng 20 minuto.
Step 2: Ihanda ang brine solution (i.e. pinaghalong tubig at asin). Sa bawat 60-kg ng isda gumamit ng 6.5 kilos ng asin at 5 gallons ng tubig.
Step 3: Banlawan ang isda at ilagay sa brine solution ng 3 oras.
Step 4: Isalin ang isda sa brine solution, gumamit ng strainer para masala.
Step 5: Ilagay ang isda isa-isa sa 6-cm wire screen para maprotektahan sa langaw.
Step 6: Ilagay ang masinang isda sa ilalim ng araw para matuyo nang maayos.
Step 7: Takpan ang isda nang isda sa pang bahagi ng wire screen mesh.
Step 8: Ipatuyo ang isda sa ilalim ng araw ng 2 hanggang 3 araw depende sa laki ng isda.
Step 9: Bali-baligtarin ang isda araw ng araw, 3 hanggang 4 na oras sa umaga para hindi masyadong matuyo at malambot naman ang pagkatapos matuyo ang isda.
Step 10: Timbangin, i-pack, selyaduhan at iimbak ang dried fish at room temperature.",Preserved Fish / Processed Food,"Napaka-Maalat, Matibay ang Lasa, Malutong kapag Pritong",Calories: ~200 kcal | Protein: ~32g | Fat: ~8g | Carbs: ~0g | Sodium: ~1500mg,30,4320,20,Moderate,High Cost,"Tuyo, Isda, Preserved Fish, Filipino, Almusal, Negosyo, Tradisyonal","Almusal, Tanghalian","Nostalgic, Morning comfort, Simple living, Humble, Homesick",
